filename,meeting_id,needs_ocr,reason
2019-03-06 Council Meeting Approved Minutes.pdf,230,False,Review item 1253: weak or fallback extraction.
2019-03-06 Council Meeting Approved Minutes.pdf,230,False,Review item 1254: weak or fallback extraction.
2019-03-20 Council Meeting Approved Minutes.pdf,231,False,Review item 1255: weak or fallback extraction.
2019-03-20 Council Meeting Approved Minutes.pdf,231,False,Review item 1256: weak or fallback extraction.
2019-03-20 Council Meeting Approved Minutes.pdf,231,False,Review item 1257: weak or fallback extraction.
2019-03-20 Council Meeting Approved Minutes.pdf,231,False,Review item 1258: weak or fallback extraction.
2019-03-20 Council Meeting Approved Minutes.pdf,231,False,Review item 1259: weak or fallback extraction.
2019-03-20 Council Meeting Approved Minutes.pdf,231,False,Review item 1260: weak or fallback extraction.
2019-03-20 Council Meeting Approved Minutes.pdf,231,False,Review item 1261: weak or fallback extraction.
2019-03-20 Council Meeting Approved Minutes.pdf,231,False,Review item 1262: weak or fallback extraction.
2019-03-20 Council Meeting Approved Minutes.pdf,231,False,Review item 1263: weak or fallback extraction.
2019-04-03 Council Meeting Approved Minutes.pdf,232,False,Review item 1264: weak or fallback extraction.
2019-04-03 Council Meeting Approved Minutes.pdf,232,False,Review item 1265: weak or fallback extraction.
2019-04-03 Council Meeting Approved Minutes.pdf,232,False,Review item 1266: weak or fallback extraction.
2019-04-03 Council Meeting Approved Minutes.pdf,232,False,Review item 1267: weak or fallback extraction.
2019-04-03 Council Meeting Approved Minutes.pdf,232,False,Review item 1268: weak or fallback extraction.
2019-04-03 Council Meeting Approved Minutes.pdf,232,False,Review item 1269: weak or fallback extraction.
2019-04-24 Council Meeting Approved Minutes.pdf,233,False,Review item 1270: weak or fallback extraction.
2019-04-24 Council Meeting Approved Minutes.pdf,233,False,Review item 1271: weak or fallback extraction.
2019-04-24 Council Meeting Approved Minutes.pdf,233,False,Review item 1272: weak or fallback extraction.
2019-04-24 Council Meeting Approved Minutes.pdf,233,False,Review item 1273: weak or fallback extraction.
2019-04-24 Council Meeting Approved Minutes.pdf,233,False,Review item 1274: weak or fallback extraction.
2019-04-24 Council Meeting Approved Minutes.pdf,233,False,Review item 1275: weak or fallback extraction.
2019-04-24 Council Meeting Approved Minutes.pdf,233,False,Review item 1276: weak or fallback extraction.
2019-05-01 Council Meeting Approved Minutes.pdf,234,False,Review item 1277: weak or fallback extraction.
2019-05-01 Council Meeting Approved Minutes.pdf,234,False,Review item 1278: weak or fallback extraction.
