item_id,meeting_id,action_type,vote_detected,project_matches,review_reason,item_text
177,32,Administrative,True,,No location name/address matched,"Approved to permit Councilmembers Levitan and Wilson to participate remotely in Zoom Presentation. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016 forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date"
178,32,Administrative,True,,No location name/address matched,Approved agenda with the moving items of 7A and 8A up to be heard after the Consent Agenda
179,32,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
180,32,Ordinance,False,,No location name/address matched,"Denied request to amend the zoning for the Estero Town Center CPD for a Firestone Complete Auto Care, and adopt Ordinance 2020-09"
183,33,Vote,True,,No location name/address matched,Approved the agenda
184,33,Unknown,False,,No location name/address matched,"A hearing will be scheduled to speak to two Board Members, one on the Planning and Zoning Board and one on the Design Review Board, regarding whether they should be removed"
185,33,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
186,33,Contract Approval,True,,No location name/address matched,"Approved the agreement with J .R. Evans Engineering for preparation of a Stormwater Master Plan for the Village, to be completed by approximately July 2018"
187,34,Administrative,True,,No location name/address matched,"Motion to permit Councilmember Wilson to participate remotely in Zoom Presentation. Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Village Council meetings from June 8, 2016, forward, as well as agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date"
188,34,Administrative,True,,No location name/address matched,Approved agenda with moving workshop 12a to item 3b
189,34,Consent Agenda,True,,No location name/address matched,"Approved the Consent Agenda items a, b, and c"
191,34,Ordinance,True,,No location name/address matched,Approved Ordinance No. 2023-02 the recommended changes made by the
192,35,Discussion,True,,No location name/address matched,Approved the agenda
193,36,Administrative,True,,No location name/address matched,Approved agenda
194,36,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
195,36,Vote,True,,No location name/address matched,Motion Failed due to lack of a second
196,36,Vote,True,,No location name/address matched,"Approved Greater Estero Chamber of Commerce $12,500 for financial support for Strategic Plans for Future Growth and Impact, and the Greater Estero Chamber of Commerce can come back to Council to request another $12,500 in six months (September)"
197,37,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
198,37,Unknown,False,,No location name/address matched,"Appointed nine members, Kristin Jeannin, Barry Jones, Michael Sheeley, Jim Wallace, Anthony Gargano, Marlene Naratil, James Tatooles, Leonard Scotty Wood, and Howard Levitan"
199,37,Unknown,False,,No location name/address matched,"Appointed Kristin Jeannm, Barry Jones, Jim Wallace, and Howard Levitan. to a two-year term and Michael Sheeley, Anthony Gargano, Marlene Naratil, James Tatooles, and Leonard Scotty Wood to a three- year term"
200,37,Unknown,False,,No location name/address matched,"Appointed Howard Levitan and Leonard Scotty Wood as co-chairs of the Planning, Zoning, and Design Board"
202,37,Ordinance,True,,No location name/address matched,Approved Ordinance No. 2021-02 with Council's additional conditions and revisions
203,38,Administrative,True,,No location name/address matched,Approved agenda
204,38,Consent Agenda,True,,No location name/address matched,Approved consent agenda
205,38,Contract Approval,True,Budget / Capital Improvement,No location name/address matched,"Approved EC 2024-26 in the amount of $1,967,667 for Hellas Construction, Inc. to install artificial turf on The Jeff Sommer Stadium football field, approve a $197,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency)"
206,38,Contract Approval,True,,No location name/address matched,"Approved the attached Professional Services agreement with Vieste, LLC"
207,38,Ordinance,True,,No location name/address matched,"Passed first reading of Ordinance No. 2024-01 and set second reading for March 20, 2024"
208,38,Ordinance,True,,No location name/address matched,"Passed first reading of Ordinance No. 2024-02 and set second reading for March 20, 2024"
209,38,Ordinance,True,,No location name/address matched,"Passed first reading of Ordinance No. 2024-04 and set second reading for March 20, 2024"
210,38,Ordinance,True,,No location name/address matched,Adopted Ordinance No. 2024-03 subject to changing the word enforcement to compliance
211,39,Vote,True,,No location name/address matched,"Approved continuing to a date certain, March 23, 2016"
212,40,Discussion,True,,No location name/address matched,Approved the agenda
214,42,Administrative,True,,No location name/address matched,Approved the agenda as amended
215,42,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
216,42,Vote,True,,No location name/address matched,Approved support for the project and to continue fact finding
217,42,Unknown,False,,No location name/address matched,Appointment of a liaison was tabled
218,43,Vote,True,,No location name/address matched,Approved the agenda
219,43,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
220,43,Unknown,False,,No location name/address matched,Accepted the report
221,43,Resolution,True,,No location name/address matched,Adopted Resolution No. 2016-06
222,43,Ordinance,True,,No location name/address matched,"Approved first reading of Ordinance No. 2016-03 and set second reading for April 6, 2016"
223,43,Unknown,False,,No location name/address matched,"Directed staff to prepare a letter for builder WCI, to inform them that they need to come before Estero' s Planning and Zoning Board, as Estero has jurisdiction with their DRI"
224,43,Unknown,False,,No location name/address matched,Directed staff to find a 501(c)(3) organization and donate the 20 extra chairs
225,44,Administrative,True,,No location name/address matched,Approved agenda
226,44,Consent Agenda,True,,No location name/address matched,Approved the Consent Agenda
229,44,Ordinance,True,,No location name/address matched,"Approved First Addendum to Peoples Gas System, Inc. ""(TECO)"" Franchise Agreement Ordinance 2021-09"
