ActionId,MeetingId,MeetingDate,ProjectName,MeetingType,Sequence,Kind,ReferenceCode,AmountUSD,RawText
33,10,2024-01-24,BERT Rail Trail,Regular Council Meeting,1,Approved Contract,EC 2024-10,151440.0,"Approved EC 2024-10 in the amount of $151,440 for CW3 Engineering, Inc. to provide construction engineering and inspection services for the Estero on the River Phase 1 Improvements, approve a $15,000 contingency for additional services tha t may be required to complete the project and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero"
32,10,2024-01-24,BERT Rail Trail,Regular Council Meeting,0,Approved Agreement,,,Approved Interlocal Agreement for Election Services with the Supervisor of Elections.
10,2,2024-01-03,Corkscrew Road Widening,Regular Council Meeting,4,Approved Change Order,EC 2022-83,8500.0,"Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cost) project contingency of $9,400, and authorize the Village Manager to"
9,2,2024-01-03,Corkscrew Road Widening,Regular Council Meeting,3,Approved Contract,EC 2024-06,,Approved contract EC 2024-06 with Florida Acquisition Services to provide right -of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero
8,2,2024-01-03,Corkscrew Road Widening,Regular Council Meeting,2,Approved Contract,EC 2024-07,249480.0,"Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero"
7,2,2024-01-03,Corkscrew Road Widening,Regular Council Meeting,1,Accepted Payment,,30000.0,"Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made. Vote : (Roll Call) Aye:"
6,2,2024-01-03,Corkscrew Road Widening,Regular Council Meeting,0,Adopted,,,Adopted the Village of Estero Information Security Policy.
5,1,2024-01-03,Septic to Sewer Conversion,Regular Council Meeting,4,Approved Change Order,EC 2022-83,8500.0,"Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cost) project contingency of $9,400, and authorize the Village Manager to"
4,1,2024-01-03,Septic to Sewer Conversion,Regular Council Meeting,3,Approved Contract,EC 2024-06,,Approved contract EC 2024-06 with Florida Acquisition Services to provide right -of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero
3,1,2024-01-03,Septic to Sewer Conversion,Regular Council Meeting,2,Approved Contract,EC 2024-07,249480.0,"Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero"
2,1,2024-01-03,Septic to Sewer Conversion,Regular Council Meeting,1,Accepted Payment,,30000.0,"Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made. Vote : (Roll Call) Aye:"
1,1,2024-01-03,Septic to Sewer Conversion,Regular Council Meeting,0,Adopted,,,Adopted the Village of Estero Information Security Policy.
208,134,2023-12-13,BERT Rail Trail,Regular Council Meeting,0,Other,,,"Affirm ed the decision of the Planning Zoning & Design Board to issue the development order , including the conditions that have been set fo rth therein."
297,90,2023-09-07,BERT Rail Trail,Regular Council Meeting,0,Approved Resolution,2023-20,,"Approved Resolution 2023-20 waiving the provision of SECTION 5, NUMBER 2 ."
289,87,2023-07-26,Septic to Sewer Conversion,Regular Council Meeting,1,Approved Easement,,,Approved a Sovereignty Submerged Lands easement with the Florida Department of Environmental Protection for the Sunny Groves force main and authorize the Village Mayor to sign the easement and any other associated documents on behalf of the
288,87,2023-07-26,Septic to Sewer Conversion,Regular Council Meeting,0,Adopted Agreement,,,"Adopted Agreement to Transfer Ownership, Operation and Maintenance of the T&T Water Management System and Dedication and Conveyance of Related Roads and the Supplement to Agre ement to Transfer Ownership, Operation, and Maintenance of a Portion of the T&T Water Management System and for Dedication and Conveyance of Roads."
264,79,2023-07-05,BERT Rail Trail,Regular Council Meeting,5,Adopted Resolution,2023-14,,Adopted Resolution No. 2023-14.
263,79,2023-07-05,BERT Rail Trail,Regular Council Meeting,4,Other,,55233.34,"Approv ed the Seminole Gulf Railway license agreement and approve payment of $55,233.34 to Seminole Gulf Railway to secure the license agreement and authorize the Village Manager to execute the agreement on behalf of the Vi llage"
262,79,2023-07-05,BERT Rail Trail,Regular Council Meeting,3,Approved Contract,2022-32,256060.0,"Approved the STA 1 to Contract 2022-32 with Tetra Tech, Inc. for the preparation of an engineering assessment of the existing roads and sidewalks maintained by the Village of Estero for $256,060, approve a $25,600 contingency (10%) for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents wi thin the scope of the STA on behalf of the Village of Estero"
261,79,2023-07-05,BERT Rail Trail,Regular Council Meeting,2,Other,RFB 2023-07,239500.0,"App roved of RFB 2023-07, Sandy Lane Path Prefabricated Bridge to Contech Engine ered Solutions, LLC to provide the bridge as provided in the contract, at a grand total cost of $239,500, approve a contingency fund amount of $23,950 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero"
260,79,2023-07-05,BERT Rail Trail,Regular Council Meeting,1,Approved Task Authorization,EC 2022-38,146340.0,"Approved award of Suppleme ntal Task Authorization 06 to Contract EC 2022-38 to Johnson Engineering to provide water monitoring services for The Village of Estero for $146,340, approve a $14,600 contingency for additional services that may be required to complete the project and authorize the Village Manager to sign the STA and other additional impleme nting documents within the scope of the STA on behalf of the Village of Estero"
259,79,2023-07-05,BERT Rail Trail,Regular Council Meeting,0,Adopted,2023-12,,Adopted Resoluti on No. 2023-12.
242,73,2023-06-21,Corkscrew Road Widening,Regular Council Meeting,5,Approved Contract,EC 2022-33,4.0,"Approved STA 01 to Contract EC 2022-33 with RWA Engineering to design and permit the Estero Entertainment District for $4 85,045, subject to the consultant's acceptance of a revised Exhibit ""C"" (Project Schedule) to meet the time constrain ts of the Village, to au thorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero"
241,73,2023-06-21,Corkscrew Road Widening,Regular Council Meeting,4,Approved Agreement,,,"Approved the software as a service agreement (SaaS) for Munis ERP software between the Village of Estero and Tyler Technologies, Inc. and authorized the Vi llage Manager to execute the contract documents on behalf of the Village of Estero"
240,73,2023-06-21,Corkscrew Road Widening,Regular Council Meeting,3,Approved Contract,EC 2023-21,11886.89,"Approved award Amendment 1 to Contract EC 2023-21 to mulch all debris and downed trees located at 8801 Corkscrew Road for $11,886.89 and authorize the Village Manager to sign the contract amendment and other additional implementing docume nts within the scope of the contr act amendment on behalf of the Village of Estero"
239,73,2023-06-21,Corkscrew Road Widening,Regular Council Meeting,2,Approved Contract,EC 2021-04,,Approved award Contract EC 2021-04 Amendment 5 to replace p lant materials along Estero Parkway and authorize the Village Manager to sign the contract amendment and other additional implementing documents within the scope of the contract amendment on behalf of the Village of E stero
238,73,2023-06-21,Corkscrew Road Widening,Regular Council Meeting,1,Approved Contract,RFB 2023-04,106890.0,"Approved award of Request for Bi ds No. RFB 2023-04, 8801 Corkscrew Road Structure Demolition to Southwest Builders Inc. to demolish the structure located at 8801 Corkscrew Road at a grand total cost of $106,890, approve a contingency fund amount of $10,689 (an amount equal to 10% of t he total project cost) to cover unforeseen circumstances which may occur , and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero"
237,73,2023-06-21,Corkscrew Road Widening,Regular Council Meeting,0,Approved Contract,EC 2022-29,311650.0,"Approved STA 02 to Contract EC 2022-29 with Weston & Sampson to design and permit the extension of utilities to Cypress Park Circle for $311,650, approve a $31,000 contingency (10%) for additional services that may be required to complete the project, and authorize the Village"
230,70,2023-06-21,BERT Rail Trail,Regular Council Meeting,3,Other,2023-11,,M oved Capital Improvement Hearing and Resolution 2023-11 on to second
229,70,2023-06-21,BERT Rail Trail,Regular Council Meeting,2,Passed Ordinance,,,Passed First Reading of Ordinance 2023 -04 and set
228,70,2023-06-21,BERT Rail Trail,Regular Council Meeting,1,Approved,,,Approved Supplemental
227,70,2023-06-21,BERT Rail Trail,Regular Council Meeting,0,Approved,,,Approved
182,57,2023-06-07,BERT Rail Trail,Regular Council Meeting,0,Passed Ordinance,2023-05,,Passed second reading of Ordinance No. 2023-05.
