ProjectName,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,LandUseCategory,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType
Coconut Road Study - Bonita Springs Raptor Bay Rezoning,Village Council,Regular Meeting,Village Council,2020-07-08,2020-07-08,2020,Accepted,518,7,Vote,infrastructure,Coconut Road Study - Bonita Springs Raptor Bay Rezoning,Coconut Road Study - Bonita Springs Raptor Bay Rezoning. Action: Approved the appointment of Mayor Ribble as the liaison to Bonita Springs on the Pelican Landing Raptor Bay Rezoning,Approved the appointment of Mayor Ribble as the liaison to Bonita Springs on the Pelican Landing Raptor Bay Rezoning,Approved the appointment of Mayor Ribble as the liaison to Bonita Springs on the Pelican Landing Raptor Bay Rezoning,Approved the appointment of Mayor Ribble as the liaison to Bonita Springs on the Pelican Landing Raptor Bay Rezoning,,,Detected,,,,Coconut Road,"Coconut Road from US 41 to Via Coconut Point, Estero, FL",26.398474495578,-81.808064278126,0.9,TD/SS,07082020 Council Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/07082020%20Council%20Meeting%20Minutes.pdf,AgendaItemLocation
Budget / Capital Improvement,Village Council,Regular Meeting,Village Council,2020-07-08,2020-07-08,2020,Accepted,514,3,Resolution,infrastructure,"Resolution 2020-11 Of The Village Council Of The Village OfEstero, Florida, Approving A Budget Amendment For Coconut Road Improvement Study For Fiscal Year 2019-2020; And Providing An Effective Date Supplemental Task Authorization (STA)-14 under C...","Resolution 2020-11 Of The Village Council Of The Village OfEstero, Florida, Approving A Budget Amendment For Coconut Road Improvement Study For Fiscal Year 2019-2020; And Providing An Effective Date Supplemental Task Authorization (STA)-14 under CN 2020-0. Action: Approved Supplemental Task Authorization (STA)-14 under CN 2020-01 Miscellaneous Professional Services to Johnson Engineering, Inc.to perform a suite of design services for the Coconut Road Improvements Study, authorize the Village...","Approved Supplemental Task Authorization (STA)-14 under CN 2020-01 Miscellaneous Professional Services to Johnson Engineering, Inc.to perform a suite of design services for the Coconut Road Improvements Study, authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council, and adopt Resolution No. 2020-11 for Fiscal Year 2019-2020 budget amendment","Approved Supplemental Task Authorization (STA)-14 under CN 2020-01 Miscellaneous Professional Services to Johnson Engineering, Inc.to perform a suite of design services for the Coconut Road Improvements Study, authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council, and adopt Resolution No. 2020-11 for Fiscal Year 2019-2020 budget amendment","Approved Supplemental Task Authorization (STA)-14 under CN 2020-01 Miscellaneous Professional Services to Johnson Engineering, Inc.to perform a suite of design services for the Coconut Road Improvements Study, authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council, and adopt Resolution No. 2020-11 for Fiscal Year 2019-2020 budget amendment",,,Detected,,CN 2020-0,,"Coconut Road from US 41 to Via Coconut Point, Estero, FL","Coconut Road from US 41 to Via Coconut Point, Estero, FL",26.398474495578,-81.808064278126,0.95,TD/SS,07082020 Council Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/07082020%20Council%20Meeting%20Minutes.pdf,AgendaItemLocation
Williams Road Improvements,Village Council,Regular Meeting,Village Council,2020-06-17,2020-06-17,2020,Accepted,504,4,Resolution,infrastructure,"Resolution No. 2020-08 A Resolution of the Village Council of the Village of Estero, Florida Authorizing the Purchase of 9.2± acres on Williams Road and the Sale of 2.7 acres of surplus property on County Road; Determining that it is in the best i...","Resolution No. 2020-08 A Resolution of the Village Council of the Village of Estero, Florida Authorizing the Purchase of 9.2± acres on Williams Road and the Sale of 2.7 acres of surplus property on County Road; Determining that it is in the best interest . Action: Approved Resolution No.2020-08, which authorizes the Mayor to sign the purchase agreement and sale agreement and authorizes the Village Manager and Village Attorney to complete any necessary due diligence or other actions to consumm...","Approved Resolution No.2020-08, which authorizes the Mayor to sign the purchase agreement and sale agreement and authorizes the Village Manager and Village Attorney to complete any necessary due diligence or other actions to consummate and close the purchase and sale of the properties in accordance with terms of the Purchase and Sale Agreements","Approved Resolution No.2020-08, which authorizes the Mayor to sign the purchase agreement and sale agreement and authorizes the Village Manager and Village Attorney to complete any necessary due diligence or other actions to consummate and close the purchase and sale of the properties in accordance with terms of the Purchase and Sale Agreements","Approved Resolution No.2020-08, which authorizes the Mayor to sign the purchase agreement and sale agreement and authorizes the Village Manager and Village Attorney to complete any necessary due diligence or other actions to consummate and close the purchase and sale of the properties in accordance with terms of the Purchase and Sale Agreements",,,Detected,,Resolution No. 2020-08,,Williams Road,"Williams Road from US 41 to Three Oaks Parkway, Estero, FL",26.420352499197,-81.799938484002,0.9,,061720 Council Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/061720%20Council%20Meeting%20Minutes.pdf,AgendaItemLocation
Williams Road Improvements,Village Council,Regular Meeting,Village Council,2020-05-27,2020-05-27,2020,Accepted,618,11,Vote,institutional,Williams Road at Estero High School Turn Lane Improvements RFB 2020-03,Williams Road at Estero High School Turn Lane Improvements RFB 2020-03. Action: 1) Approved award of Request for Bids No. RFB 2020-03 Williams Road at Estero High School Turn Lane Improvements (Via a Piggyback of Lee County Bl80007AN,1) Approved award of Request for Bids No. RFB 2020-03 Williams Road at Estero High School Turn Lane Improvements (Via a Piggyback of Lee County Bl80007AN,1) Approved award of Request for Bids No. RFB 2020-03 Williams Road at Estero High School Turn Lane Improvements (Via a Piggyback of Lee County Bl80007AN,1) Approved award of Request for Bids No. RFB 2020-03 Williams Road at Estero High School Turn Lane Improvements (Via a Piggyback of Lee County Bl80007AN,,,Detected,,RFB 2020-03,,"Williams Road at Estero High School, Estero, FL","Williams Road at Estero High School, Estero, FL",26.422301,-81.798178,1.0,,2020-05-27 Council Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-05-27%20Council%20Meeting%20Minutes.pdf,AgendaItemLocation
Corkscrew Road,Village Council,Regular Meeting,Village Council,2020-05-27,2020-05-27,2020,Accepted,617,10,Contract Approval,infrastructure,Corkscrew Road/Puente Lane Traffic Signal Design - Contract EC 2019-04 STA-1 Change Order O1,"Corkscrew Road/Puente Lane Traffic Signal Design - Contract EC 2019-04 STA-1 Change Order O1. Action: 1) Approved Change Order Number O1 to Contract Number EC 2019-04­ STA 1 to increase the total contract ofSTAl by $10,000 to $174,515. 2) Authorized the Village Manager to execute the Change Order and other additional implementing documents within the scope of the Change Order on behalf of the Village ofEstero Council","1) Approved Change Order Number O1 to Contract Number EC 2019-04­ STA 1 to increase the total contract ofSTAl by $10,000 to $174,515. 2) Authorized the Village Manager to execute the Change Order and other additional implementing documents within the scope of the Change Order on behalf of the Village ofEstero Council","1) Approved Change Order Number O1 to Contract Number EC 2019-04­ STA 1 to increase the total contract ofSTAl by $10,000 to $174,515. 2) Authorized the Village Manager to execute the Change Order and other additional implementing documents within the scope of the Change Order on behalf of the Village ofEstero Council","1) Approved Change Order Number O1 to Contract Number EC 2019-04­ STA 1 to increase the total contract ofSTAl by $10,000 to $174,515. 2) Authorized the Village Manager to execute the Change Order and other additional implementing documents within the scope of the Change Order on behalf of the Village ofEstero Council",,,Detected,,EC 2019-04,,"Corkscrew Road & Puente Lane, Estero, FL","Corkscrew Road & Puente Lane, Estero, FL",26.431386394627,-81.784740920078,1.0,,2020-05-27 Council Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-05-27%20Council%20Meeting%20Minutes.pdf,AgendaItemLocation
Corkscrew Road,Village Council,Regular Meeting,Village Council,2020-05-27,2020-05-27,2020,Accepted,616,9,Contract Approval,infrastructure,Corkscrew Road/Puente Lane Traffic Signal Developer Agreement (Stock Development),Corkscrew Road/Puente Lane Traffic Signal Developer Agreement (Stock Development). Action: Approved the Corkscrew Road/Puente Lane Traffic Signal Developer Agreement and authorized the Village of Estero Mayor to execute the agreement,Approved the Corkscrew Road/Puente Lane Traffic Signal Developer Agreement and authorized the Village of Estero Mayor to execute the agreement,Approved the Corkscrew Road/Puente Lane Traffic Signal Developer Agreement and authorized the Village of Estero Mayor to execute the agreement,Approved the Corkscrew Road/Puente Lane Traffic Signal Developer Agreement and authorized the Village of Estero Mayor to execute the agreement,,,Detected,,,,"Corkscrew Road & Puente Lane, Estero, FL","Corkscrew Road & Puente Lane, Estero, FL",26.431386394627,-81.784740920078,1.0,,2020-05-27 Council Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-05-27%20Council%20Meeting%20Minutes.pdf,AgendaItemLocation
Corkscrew Road,Village Council,Regular Meeting,Village Council,2020-05-27,2020-05-27,2020,Accepted,615,8,Resolution,infrastructure,"Corkscrew Road Design and Permitting and Resolution No. 2020-07 A Resolution of the Village Council of the Village of Estero, Florida, Approving the Budget Amendment for Corkscrew Road Widening Design and Permitting for Fiscal Year 2019-2020; and...","Corkscrew Road Design and Permitting and Resolution No. 2020-07 A Resolution of the Village Council of the Village of Estero, Florida, Approving the Budget Amendment for Corkscrew Road Widening Design and Permitting for Fiscal Year 2019-2020; and Providin. Action: 1) Approved the piggybacking ofLee County Bid and the resulting Contract with Johnson Engineering, Inc. to perform a suite of design and permitting services for the Corkscrew Road Widening. 2) Adopted Resolution No. 2020­ 07 providi...","1) Approved the piggybacking ofLee County Bid and the resulting Contract with Johnson Engineering, Inc. to perform a suite of design and permitting services for the Corkscrew Road Widening. 2) Adopted Resolution No. 2020­ 07 providing a budget amendment for fiscal year 2019-2020. 3) Authorized the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village ofEstero Council. Village Council Meeting Notes - May 27, 2020 Page 4 of9","1) Approved the piggybacking ofLee County Bid and the resulting Contract with Johnson Engineering, Inc. to perform a suite of design and permitting services for the Corkscrew Road Widening. 2) Adopted Resolution No. 2020­ 07 providing a budget amendment for fiscal year 2019-2020. 3) Authorized the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village ofEstero Council. Village Council Meeting Notes - May 27, 2020 Page 4 of9","1) Approved the piggybacking ofLee County Bid and the resulting Contract with Johnson Engineering, Inc. to perform a suite of design and permitting services for the Corkscrew Road Widening. 2) Adopted Resolution No. 2020­ 07 providing a budget amendment for fiscal year 2019-2020. 3) Authorized the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village ofEstero Council. Village Council Meeting Notes - May 27, 2020 Page 4 of9",,,Detected,Johnson Engineering,STA and,,Corkscrew Road Widening Corridor,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",26.443916962688,-81.750022322755,0.9,,2020-05-27 Council Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-05-27%20Council%20Meeting%20Minutes.pdf,AgendaItemLocation
Corkscrew Road,Village Council,Regular Meeting,Village Council,2020-05-27,2020-05-27,2020,Accepted,614,7,Contract Approval,infrastructure,Corkscrew Road Interlocal Agreement,Corkscrew Road Interlocal Agreement. Action: 1) Approved the Interlocal Agreement between Lee County and The Village of Estero (Corkscrew Road Improvements). 2) Authorized the Mayor to execute the agreement on behalf of the Village of Estero Council,1) Approved the Interlocal Agreement between Lee County and The Village of Estero (Corkscrew Road Improvements). 2) Authorized the Mayor to execute the agreement on behalf of the Village of Estero Council,1) Approved the Interlocal Agreement between Lee County and The Village of Estero (Corkscrew Road Improvements). 2) Authorized the Mayor to execute the agreement on behalf of the Village of Estero Council,1) Approved the Interlocal Agreement between Lee County and The Village of Estero (Corkscrew Road Improvements). 2) Authorized the Mayor to execute the agreement on behalf of the Village of Estero Council,,,See minutes,,,,Corkscrew Road Widening Corridor,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",26.443916962688,-81.750022322755,0.9,,2020-05-27 Council Meeting Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-05-27%20Council%20Meeting%20Minutes.pdf,AgendaItemLocation
"Consider a Lien Mitigation Request from Racetrac Petroleum, Inc., Relating to the Property at 22350 S Tamiami Trail, Located at the Corner ofU.S. 41 and Galloway Ford Drive, just North ofCoconut Point Ford",Village Council,Regular Meeting,Village Council,2020-03-04,2020-03-04,2020,Accepted,597,5,Vote,open_space,"Consider a Lien Mitigation Request from Racetrac Petroleum, Inc., Relating to the Property at 22350 S Tamiami Trail, Located at the Corner ofU.S. 41 and Galloway Ford Drive, just North ofCoconut Point Ford","Consider a Lien Mitigation Request from Racetrac Petroleum, Inc., Relating to the Property at 22350 S Tamiami Trail, Located at the Corner ofU.S. 41 and Galloway Ford Drive, just North ofCoconut Point Ford. Action: Approved the lien mitigation request releasing any outstanding liens against the Property in exchange for payment ofa reduced fine of$15,000 and $331 .50 for administrative costs","Approved the lien mitigation request releasing any outstanding liens against the Property in exchange for payment ofa reduced fine of$15,000 and $331 .50 for administrative costs","Approved the lien mitigation request releasing any outstanding liens against the Property in exchange for payment ofa reduced fine of$15,000 and $331 .50 for administrative costs","Approved the lien mitigation request releasing any outstanding liens against the Property in exchange for payment ofa reduced fine of$15,000 and $331 .50 for administrative costs",,,Detected,Racetrac Petroleum,,,22350 S Tamiami Trail,"22350 S Tamiami Trail, Estero, FL",26.415397453315,-81.813027831639,1.0,,2020-03-04 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-03-04%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
Corkscrew Road,Village Council,Regular Meeting,Village Council,2020-03-04,2020-03-04,2020,Accepted,595,3,Vote,infrastructure,Corkscrew Road (Ben Hill Griffin Pkwy to East ofBella Terra Blvd) Enhancements,Corkscrew Road (Ben Hill Griffin Pkwy to East ofBella Terra Blvd) Enhancements. Action: Authorized the Village Manager and Public Works Director to meet with Lee County to resolve a suitable design alternative,Authorized the Village Manager and Public Works Director to meet with Lee County to resolve a suitable design alternative,Authorized the Village Manager and Public Works Director to meet with Lee County to resolve a suitable design alternative,Authorized the Village Manager and Public Works Director to meet with Lee County to resolve a suitable design alternative,,,Detected,Lee County,,,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL","Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",26.443916962688,-81.750022322755,0.95,,2020-03-04 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-03-04%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
"Consider a Lien Mitigation Request from Racetrac Petroleum, Inc., Relating to the Property at 22350 S Tamiami Trail, Located at the Corner ofU.S. 41 and Galloway Ford Drive, just North ofCoconut Point Ford",Village Council,Regular Meeting,Village Council,2020-02-19,2020-02-19,2020,Accepted,590,1,Unknown,open_space,"Consider a Lien Mitigation Request from Racetrac Petroleum, Inc., Relating to the Property at 22350 S Tamiami Trail, Located at the Corner ofU.S. 41 and Galloway Ford Drive, just North ofCoconut Point Ford","Consider a Lien Mitigation Request from Racetrac Petroleum, Inc., Relating to the Property at 22350 S Tamiami Trail, Located at the Corner ofU.S. 41 and Galloway Ford Drive, just North ofCoconut Point Ford. Action: Postponed two weeks",Postponed two weeks,Postponed two weeks,,,,Detected,Racetrac Petroleum,,,22350 S Tamiami Trail,"22350 S Tamiami Trail, Estero, FL",26.415397453315,-81.813027831639,1.0,,2020-02-19 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-02-19%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
"Consider a Lien Mitigation Request from Wayne and Maxine Schneider Relating to Their Property at 20031 Seagrove Street #1408, Located in the Sabal Palms III Community of Grandezza, Building 14, Unit 1408",Village Council,Regular Meeting,Village Council,2020-02-05,2020-02-05,2020,Accepted,589,2,Unknown,other,"Consider a Lien Mitigation Request from Wayne and Maxine Schneider Relating to Their Property at 20031 Seagrove Street #1408, Located in the Sabal Palms III Community of Grandezza, Building 14, Unit 1408","Consider a Lien Mitigation Request from Wayne and Maxine Schneider Relating to Their Property at 20031 Seagrove Street #1408, Located in the Sabal Palms III Community of Grandezza, Building 14, Unit 1408. Action: Reduced the fine to $0 and charged the administrative costs of $201",Reduced the fine to $0 and charged the administrative costs of $201,Reduced the fine to $0 and charged the administrative costs of $201,,,,,,,,20031 Seagrove Street,"20031 Seagrove Street, Estero, FL",26.448391935066,-81.765560108128,1.0,,2020-02-05 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-02-05%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
"Ordinance No. 2019-30 An Ordinance ofthe Village Council ofthe Village of Estero, Florida, Annexing Property Located at 4528, 4406 and 4410 Coconut Road, Lee County, Florida, into the Corporate Limits of the Village in Accordance with the Annexati...",Village Council,Regular Meeting,Village Council,2020-01-22,2020-01-22,2020,Accepted,586,5,Ordinance,infrastructure,"Ordinance No. 2019-30 An Ordinance ofthe Village Council ofthe Village of Estero, Florida, Annexing Property Located at 4528, 4406 and 4410 Coconut Road, Lee County, Florida, into the Corporate Limits of the Village in Accordance with the Annexati...","Ordinance No. 2019-30 An Ordinance ofthe Village Council ofthe Village of Estero, Florida, Annexing Property Located at 4528, 4406 and 4410 Coconut Road, Lee County, Florida, into the Corporate Limits of the Village in Accordance with the Annexation Provi. Action: Adopted Ordinance No. 2020-01 Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut","Adopted Ordinance No. 2020-01 Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut","Adopted Ordinance No. 2020-01 Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut","Adopted Ordinance No. 2020-01 Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut",,,Detected,,Ordinance No. 2019-30,,4406 and 4410 Coconut Road,"4406 and 4410 Coconut Road, Estero, FL",26.398566005006,-81.82671497661,0.98,,2020-01-22 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-01-22%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
"Consider Settlement Agreement between CHHCLA Investments, LLC and the Village ofEstero Pertaining to Property at 20170 South Tamiami Trail, at the Intersection of US 41 and Trailside Drive",Village Council,Regular Meeting,Village Council,2020-01-08,2020-01-08,2020,Accepted,580,5,Contract Approval,open_space,"Consider Settlement Agreement between CHHCLA Investments, LLC and the Village ofEstero Pertaining to Property at 20170 South Tamiami Trail, at the Intersection of US 41 and Trailside Drive","Consider Settlement Agreement between CHHCLA Investments, LLC and the Village ofEstero Pertaining to Property at 20170 South Tamiami Trail, at the Intersection of US 41 and Trailside Drive. Action: Approved the settlement agreement between CHHCLA Investments, LLC and the Village of Estero pertaining to property at 20170 South Tamiami Trail, at the intersection ofUS 41 and Trailside Drive. Village Council Meeting Notes - January 8, 2020 Page 4 of6","Approved the settlement agreement between CHHCLA Investments, LLC and the Village of Estero pertaining to property at 20170 South Tamiami Trail, at the intersection ofUS 41 and Trailside Drive. Village Council Meeting Notes - January 8, 2020 Page 4 of6","Approved the settlement agreement between CHHCLA Investments, LLC and the Village of Estero pertaining to property at 20170 South Tamiami Trail, at the intersection ofUS 41 and Trailside Drive. Village Council Meeting Notes - January 8, 2020 Page 4 of6","Approved the settlement agreement between CHHCLA Investments, LLC and the Village of Estero pertaining to property at 20170 South Tamiami Trail, at the intersection ofUS 41 and Trailside Drive. Village Council Meeting Notes - January 8, 2020 Page 4 of6",,,Detected,,,,20170 South Tamiami Trail,"20170 South Tamiami Trail, Estero, FL",26.446015833153,-81.815692187201,1.0,,2020-01-08 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-01-08%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
"Consider a Lien Mitigation Request from Celedonio Varela Relating to his Property at 8401 Mockingbird Lane, Located at the Corner of Highlands Avenue and Mockingbird Lane, just East ofEstero United Methodist Church",Village Council,Regular Meeting,Village Council,2020-01-08,2020-01-08,2020,Accepted,579,4,Vote,institutional,"Consider a Lien Mitigation Request from Celedonio Varela Relating to his Property at 8401 Mockingbird Lane, Located at the Corner of Highlands Avenue and Mockingbird Lane, just East ofEstero United Methodist Church","Consider a Lien Mitigation Request from Celedonio Varela Relating to his Property at 8401 Mockingbird Lane, Located at the Corner of Highlands Avenue and Mockingbird Lane, just East ofEstero United Methodist Church. Action: Approved the lien mitigation request releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $2,000.00 and $307.50 for administrative costs as recommended by the Village Attorney","Approved the lien mitigation request releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $2,000.00 and $307.50 for administrative costs as recommended by the Village Attorney","Approved the lien mitigation request releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $2,000.00 and $307.50 for administrative costs as recommended by the Village Attorney","Approved the lien mitigation request releasing any outstanding liens against the Property in exchange for payment of a reduced fine of $2,000.00 and $307.50 for administrative costs as recommended by the Village Attorney",,,See minutes,Celedonio Varela Relating to his Property at 8401 Mockingbird Lane,,,8401 Mockingbird Lane,"8401 Mockingbird Lane, Estero, FL",26.440972861108,-81.808387526222,1.0,,2020-01-08 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-01-08%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
"Consider a Lien Mitigation Request from Celedonio Varela Relating to his Property at 8401 Mockingbird Lane, Located at the Corner of Highlands Avenue and Mockingbird Lane, just East ofEstero United Methodist Church",Village Council,Regular Meeting,Village Council,2020-01-08,2020-01-08,2020,Accepted,578,3,Vote,institutional,"Consider a Lien Mitigation Request from Celedonio Varela Relating to his Property at 8401 Mockingbird Lane, Located at the Corner of Highlands Avenue and Mockingbird Lane, just East ofEstero United Methodist Church","Consider a Lien Mitigation Request from Celedonio Varela Relating to his Property at 8401 Mockingbird Lane, Located at the Corner of Highlands Avenue and Mockingbird Lane, just East ofEstero United Methodist Church. Action: Motion failed due to lack of a second",Motion failed due to lack of a second,Motion failed due to lack of a second,Motion failed due to lack of a second,,,Detected,Celedonio Varela Relating to his Property at 8401 Mockingbird Lane,,,8401 Mockingbird Lane,"8401 Mockingbird Lane, Estero, FL",26.440972861108,-81.808387526222,1.0,,2020-01-08 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-01-08%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
"Consider First Reading of Ordinance No. 2019-30 for Voluntary Annexation of 10 Acre Property At 4528, 4406 And 4410 Coconut Road, and Set Second Reading for January 8, 2020 Ordinance No. 2019-30 An Ordinance of the Village ofEstero, Annexing Prope...",Village Council,Regular Meeting,Village Council,2019-12-04,2019-12-04,2019,Accepted,497,8,Ordinance,infrastructure,"Consider First Reading of Ordinance No. 2019-30 for Voluntary Annexation of 10 Acre Property At 4528, 4406 And 4410 Coconut Road, and Set Second Reading for January 8, 2020 Ordinance No. 2019-30 An Ordinance of the Village ofEstero, Annexing Prope...","Consider First Reading of Ordinance No. 2019-30 for Voluntary Annexation of 10 Acre Property At 4528, 4406 And 4410 Coconut Road, and Set Second Reading for January 8, 2020 Ordinance No. 2019-30 An Ordinance of the Village ofEstero, Annexing Property Loca. Action: Passed first reading of Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut Road and set second reading/hearing for January 8, 20","Passed first reading of Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut Road and set second reading/hearing for January 8, 20","Passed first reading of Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut Road and set second reading/hearing for January 8, 20","Passed first reading of Ordinance No. 2019-30 for voluntary annexation of 10 acre property at 4528, 4406 and 4410 Coconut Road and set second reading/hearing for January 8, 20",,,Detected,,Ordinance No. 2019-30,,4406 And 4410 Coconut Road,"4406 And 4410 Coconut Road, Estero, FL",26.398566005006,-81.82671497661,0.98,,20191204 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2019%20MINUTES/Council/20191204%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
"Planning, Design and Permitting Services for River Ranch Road Improvements CN 2019-04",Village Council,Regular Meeting,Village Council,2019-12-04,2019-12-04,2019,Accepted,495,6,Vote,infrastructure,"Planning, Design and Permitting Services for River Ranch Road Improvements CN 2019-04","Planning, Design and Permitting Services for River Ranch Road Improvements CN 2019-04. Action: 1) Approved consultants ranking for River Ranch Road Improvements as follows",1) Approved consultants ranking for River Ranch Road Improvements as follows,1) Approved consultants ranking for River Ranch Road Improvements as follows,1) Approved consultants ranking for River Ranch Road Improvements as follows,,,Detected,,CN 2019-04,,"River Ranch Road from Williams Road to Corkscrew Road, Estero, FL","River Ranch Road from Williams Road to Corkscrew Road, Estero, FL",26.425785502152,-81.794620501714,0.95,,20191204 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2019%20MINUTES/Council/20191204%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
"Consider a Lien Mitigation Request from Celedonio Varela Relating to his Property at 8401 Mockingbird Lane, Located at the Comer of Highlands Avenue and Mockingbird Lane, just East ofEstero United Methodist Church",Village Council,Regular Meeting,Village Council,2019-12-04,2019-12-04,2019,Accepted,494,5,Vote,institutional,"Consider a Lien Mitigation Request from Celedonio Varela Relating to his Property at 8401 Mockingbird Lane, Located at the Comer of Highlands Avenue and Mockingbird Lane, just East ofEstero United Methodist Church","Consider a Lien Mitigation Request from Celedonio Varela Relating to his Property at 8401 Mockingbird Lane, Located at the Comer of Highlands Avenue and Mockingbird Lane, just East ofEstero United Methodist Church. Action: 1) Approved consultants ranking for Via Coconut Point Landscape Improvements as follows",1) Approved consultants ranking for Via Coconut Point Landscape Improvements as follows,1) Approved consultants ranking for Via Coconut Point Landscape Improvements as follows,1) Approved consultants ranking for Via Coconut Point Landscape Improvements as follows,,,Detected,Celedonio Varela Relating to his Property at 8401 Mockingbird Lane,,,8401 Mockingbird Lane,"8401 Mockingbird Lane, Estero, FL",26.440972861108,-81.808387526222,1.0,,20191204 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2019%20MINUTES/Council/20191204%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation
