Filename,Meeting Date,ArcGIS_Date,Meeting Type,Location,Start Time,End Time,Action Taken,Staff Code,Status,Document_Link
09172025.pdf,"September 17, 2025",2025-09-17,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,5:43 pm,Adopted Resolution No. 2025-20.,ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/09172025.pdf
07082020 Council Meeting Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"Coconut Road, Estero, FL",9:30 am,11:05 am,"Approved the Consent Agenda. | Approved the Supplemental Task Authorization (STA)-02 under CN 2020-01 Miscellaneous Professional Services for Johnson Engineering, Inc. to perform a suite of services for the Village ofEstero Water Quality Monitoring Assistance, and authorize the Village Manager to sign the STA and other additional implementing documents. | Approved Supplemental Task Authorization (STA)-14 under CN 2020-01 Miscellaneous Professional Services to Johnson Engineering, Inc.to perform a suite of design services for the Coconut Road Improvements Study, authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of t",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/07082020%20Council%20Meeting%20Minutes.pdf
072215 Workshop Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/072215%20Workshop%20Approved%20Minutes.pdf
11062024 minutes.pdf,"NOVEMBER 20, 2024",2024-11-20,Village Council,"Three Oaks Parkway and The Brooks, Estero, FL",9:30 am,11:51 am,"Approved consent agenda . | Approved Special Magistrate Services Agreement Between the Village of Estero and Patrick Neale, Esq. | Approved the Agreement Between the Village of Estero and the Estero Forever Foundation for Management of the Happehatchee Complex, and to authorize the Village Manager to execute the agreement. | Approved the Interlocal Agreement between the Village and County for acquisition of County Park land. | Approved the Interlocal Agreement with The Brooks Community Development District (CDD) for improvements to the Three Oaks Parkway paths and authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary which do not i",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/11062024%20minutes.pdf
02162022 minutes.pdf,"February 16, 2022",2022-02-16,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Approved agenda. | Approved the Consent Agenda . | Approved the 2021- 2022 Interlocal Agreement between Village of Estero and Lee County for Stray Animal Control Services.,ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/02162022%20minutes.pdf
052417 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,Continued the request to a time uncertain.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/052417%20Council%20Meeting%20Approved%20Minutes.pdf
10042023 minutes.pdf,"OCTOBER 18, 2023",2023-10-18,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,12:57 pm,Approved consent agenda with agenda item 5b removed.,ON/IN,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/10042023%20minutes.pdf
01052022 minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"Estero Parkway, Estero, FL",9:30 am,11:00 am,"Approved agenda. | Approved the Consent Agenda. | Adopted Resolution No. 2022-01. | Approved award of Request for Bid No. RFB 2021-01, Mowing, Landscape, and Irrigation Maintenance for the Village of Estero to P & T Lawn and Tractor Service, Inc. to provide mowing, landscape, and irrigation maintenance services Estero Parkway Landscaping as provide d in the contract for a one-year period, at a rate of $358,276.00 per year. Authorized the Village Manager to Village | Authorized the Village Manager and Village Attorney to execute any documents necessary to maintain participation in the State of Florida settlement. | Passed first reading and schedule second reading and",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/01052022%20minutes.pdf
06182025.pdf,"June 18, 2025",2025-06-18,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,11:30 am,Approved Comprehensive Annual Financial Report. V illage,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/06182025.pdf
2019-03-06 Council Meeting Approved Minutes.pdf,,,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/2019-03-06%20Council%20Meeting%20Approved%20Minutes.pdf
050317 Council Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved the agenda as revised, adding agenda item 5 (e). | Approved the Consent Agenda. | Approved the proposed lease amendment. | Adopted the Village | Adopted Resolution No. 2017-11, as amended. | Continued the agenda item to May 31, 2017.",DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/050317%20Council%20Meeting%20Approved%20Minutes.pdf
01222025 Minutes.pdf,"January 22, 2025",2025-01-22,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:21 am,Approved consent agenda . | Approved the Alternate Master Plan. Village | Adopted Ordinance No. 2025- 01.,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/01222025%20Minutes.pdf
10152025.pdf,"October 15, 2025",2025-10-15,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,10:11 am,Approved Village,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/10152025.pdf
08292023 minutes.pdf,"SEPTEMBER 7, 2023",2023-09-07,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,"Approved Resolution 2023- 20 waiving the provision of SECTION 5, NUMBER 2 .",TD/CS,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/08292023%20minutes.pdf
042417 Council Organizational Business Meeting Approved Minutes.pdf,"June 8, 2016",2016-06-08,Village Council,"9401 Corkscrew Palms Circle, Estero, FL 33928",9:30 am,Unknown,,DA/MI,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/042417%20Council%20Organizational%20Business%20Meeting%20Approved%20Minutes.pdf
01032024 minutes.pdf,"January 3, 2024",2024-01-03,Village Council,"8800 Corkscrew Road, Estero, FL",9:30 am,Unknown,"Approved consent agenda. | Adopted the Village of Estero Information Security Policy. Village | Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village’s code enforcement lien on the owner’s property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made. | Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents with",ON/CO,Accepted,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/01032024%20minutes.pdf
