ProjectName,MeetingType,MeetingDate,MeetingYear,Status,ActionTaken,StartTime,StaffCode,Title,MinutesURL,DocDate,LocationName,Latitude,Longitude
General Council Business,Village Council Regular Meeting,2024-10-02,2024,Accepted,"Approved consent agenda. Village | Passed first reading and schedule second reading for October 2, 2024.",9:30 am,ON/CO,Village Council Meeting Minutes — 2024-10-02,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/09182024%20minutes.pdf,2024-09-18,Estero Village Hall,26.428500,-81.806800
General Council Business,Village Council Regular Meeting,2024-09-18,2024,Accepted,No action found,9:30 am,DA/MI,Village Council Meeting Minutes — 2024-09-18,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/09112024%20minutes.pdf,2024-09-11,Estero Village Hall,26.428500,-81.806800
General Council Business,Village Council Regular Meeting,2024-09-11,2024,Accepted,"Approved consent agenda correction . | Adopted Resolution No. 2024- 12. | Adopted Resolution No. 2024- 13. | Adopted Resolution No. 2024- 15. Village | Approved award of Invitation to Bid 100124, Disaster Debris Monitoring Services for the Village of Estero to the apparent low bidder, Disaster Program Operations, Inc. to provide on- call disaster debris monitoring services as provided in the contract for a one -year period, at the rates submitted on their bid, authorize the Village Manager to execute contract documents on behalf of the Village of Estero | Approved award of Invitation to Bid 100224, Disaster Recovery Services for the Village of Estero to CrowderGulf Jo",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-09-11,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/07032024%20minutes.pdf,2024-07-03,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2024-09-10,2024,Accepted,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2024-09-10,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/09102024%20PZDB%20Minutes.pdf,2024-09-10,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2024-08-13,2024,Accepted,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2024-08-13,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/08132024%20PZDB%20Minutes.pdf,2024-08-13,Estero Village Hall,26.428500,-81.806800
General Planning & Zoning,Planning Zoning & Design Board,2024-07-09,2024,Accepted,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2024-07-09,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/07092024%20PZDB%20Minutes.pdf,2024-07-09,Estero Village Hall,26.428500,-81.806800
BERT Rail Trail,Village Council Regular Meeting,2024-06-19,2024,Accepted,"Approved consent agenda. | Approved the ranking of construction management firms for RFP 2024- 04 as 1- Wright Construction and a uthorize Village | Approved the ranking of construction management firms for RFP 2024- 02 as recommended by the Village of Estero’s selection committee. 1-Manhattan Construction, 2- Wright Construction, 3- Chris Tel Construction, 4- Seagate Development Group, 5 Brooks & Freund, and authorize Village | Approved the ranking of construction management firms for RFP 2024- 03 as recommended by the Village’s selection committee. 1 – Wright Construction, 2 – AIM Construction, 3 – Chris Tel Construction, 4 – American Infrastructure Services, and authorize Village | Passed",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-06-19,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/06052024%20minutes.pdf,2024-06-05,BERT Rail Trail Corridor,26.433900,-81.815700
General Planning & Zoning,Planning Zoning & Design Board,2024-06-11,2024,Accepted,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2024-06-11,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/06112024%20PZDB%20Minutes.pdf,2024-06-11,Estero Village Hall,26.428500,-81.806800
BERT Rail Trail,Village Council Regular Meeting,2024-06-05,2024,Accepted,"Approved consent agenda. | Approved Resolution No. 2024- 05. | Approved the Village Manager to execute the High- 5 | Approved that Wright Construction Group is granted a Notice to Proceed on their phase 1 construction costs based on GMP#1. | Passed First Reading of Ordinance No. 2024-06 and set second reading for June 5, 2024.",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-06-05,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/05152024%20minutes.pdf,2024-05-15,BERT Rail Trail Corridor,26.433900,-81.815700
BERT Rail Trail,Village Council Regular Meeting,2024-05-15,2024,Accepted,"Approved consent agenda. | Approved Construction Manager at Risk agreement between Village of Estero and Manhattan Construction, Inc. for Williams Road and Atlantic Gulf Blvd Intersection Project and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary, except for the Guaranteed Maximum Price amendment, which will be approved by | Approved Construction Manager at Risk agreement between Village of Estero and Chris -Tel Construction, Inc. for the Sandy Lane Bike/Ped Improvements Project and to authorize the Village Manager to execute the agreement with an effective date of July 1, 2024 and any related documents or amendments as m",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-05-15,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/05012024%20minutes.pdf,2024-05-01,BERT Rail Trail Corridor,26.433900,-81.815700
General Planning & Zoning,Planning Zoning & Design Board,2024-05-14,2024,Accepted,No action extracted - verify PDF,,,PZ&DB Meeting Minutes — 2024-05-14,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/05142024%20PZDB%20Minutes.pdf,2024-05-14,Estero Village Hall,26.428500,-81.806800
Septic to Sewer,Village Council Regular Meeting,2024-05-01,2024,Accepted,"Approved consent agenda. | Approved EC 2024- 06 STA -05 in the amount of $81,000 with Florida Acquisition & Appraisal, Inc. to assist the Village in obtaining easement and property required to construction the Broadway Ave East UEP Areas 2 & 3, approve a $8,100 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero | Approved the Assignment and Amendment of the License Agreement for Sandy Lane Right of Way Occupation, Drainage Pipe Construction and Maintenance agreement with Seminole Gulf Railway and",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-05-01,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/04172024%20minutes.pdf,2024-04-17,Cypress Bend Septic Area,26.446900,-81.811600
Septic to Sewer,Village Council Regular Meeting,2024-05-01,2024,Accepted,"Approved consent agenda. | Approved EC 2024- 06 STA -05 in the amount of $81,000 with Florida Acquisition & Appraisal, Inc. to assist the Village in obtaining easement and property required to construction the Broadway Ave East UEP Areas 2 & 3, approve a $8,100 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero | Approved the Assignment and Amendment of the License Agreement for Sandy Lane Right of Way Occupation, Drainage Pipe Construction and Maintenance agreement with Seminole Gulf Railway and",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-05-01,https://github.com/krocks9903/EagleGIS/blob/script/pdfs/04172024%20minutes.pdf,2024-04-17,Broadway Avenue East UEP,26.442000,-81.805400
